339804,25913
80758,146540
388323,10549
92002,84867
55270,79644
388474,8976
27074,54557
2134,195814
150000,3164
113763,5598
64847,27090
10690,81629
57143,10640
8707,79856
79812,7421
80117,7327
58189,342926
58189,7516
80271,5533
55025,5347
50487,7041
50487,5817
50486,6156
57149,4507
24146,2669
84255,7730
79684,2071
23461,3164
23461,1571
54905,57684
27111,152815
27111,10484
56911,1154
2813,81629
2813,11063
1593,10549
51554,1017
10126,65056
10126,6344
5244,84992
5244,7016
4708,5213
4539,6772
4519,9961
4118,7874
4118,4615
6666,6723
4329,4005
3492,9970
2867,3480
1670,1840
1644,5970
1573,7597
1573,6921
1241,7532
1071,5568
124,3033
124,1459
35,3665
368,51084
368,5045
368,3164
368,204
146223,51069
390502,2547
8534,4809
9719,2192
27087,6455
27087,3108
8704,10471
283971,4795
10164,28960
279,3480
279,51499
79363,10232
79363,51522
4889,26471
4889,51255
1748,27258
2302,113000
2302,84255
2302,57407
2302,11339
2302,7067
2302,51605
2302,11344
122622,51582
122622,55646
79611,7044
1577,2119
1577,112724
27302,10955
1747,6907
1747,51567
54988,2033
416,2033
8372,6582
968,5900
130,84268
130,26057
130,10318
130,6235
130,3845
130,408
130,26156
130,83593
64902,1571
64902,229
8581,5570
84002,23492
11132,10211
11132,2176
11132,1947
11132,5688
11226,8884
11226,6880
11226,252839
10871,57120
10871,4232
10871,9477
2877,7157
2877,4609
2877,5690
643382,10376
643382,9771
2843,6160
2843,30834
2843,58494
51302,64754
51302,2752
51302,5005
51302,57515
92400,6891
92400,57393
285381,6132
83953,7157
283985,25898
11131,7374
11131,5573
11131,2547
27023,84844
165215,4356
282679,6776
4337,5300
27283,120224
57127,25970
84419,81629
954,79618
2742,10484
93550,7022
221409,6687
9245,92400
9245,10073
5027,10548
80772,148479
80772,51763
80772,6921
80772,4088
80772,26036
84300,1048
5005,9588
5005,6788
140738,29979
84830,7448
50801,9045
222546,11035
2845,7022
2845,4776
147372,9878
147372,6478
10446,58158
51303,5970
8706,990
55908,25898
64838,5436
23632,10793
2538,23161
2538,25936
24147,23556
117248,84727
79056,5932
79056,3093
79056,7422
11202,5997
283600,712
283600,56616
84984,64764
80864,26521
80864,55177
8817,55646
51131,51588
6582,6613
128821,23118
128821,6582
116519,6602
116519,5869
116519,355
137872,3990
137872,2776
81579,140738
81579,7532
81579,6209
81579,7372
81579,5925
81579,83549
81579,6194
80339,81609
219348,57674
219348,9771
127687,6643
25132,8766
25132,4218
25132,4218
83401,200958
2703413,7532
2703413,7529
2703413,7533
2703413,10971
2703413,7531
3077435,5710
3077435,7316
3077435,5710
953,7316
58488,5077
58488,55856
58488,5077
58488,55856
1215,3553
23305,23305
23305,23305
23305,23305
23305,23305
8639,79056
5346,51099
387103,7316
387103,10987
100356064,57111
100356064,9230
100356064,8766
100008736,57111
100008736,9230
100008736,8766
2540690,10844
2540690,10426
2540392,10844
2540392,10426
2541472,7818
2541472,28973
2541472,7818
2541472,6182
2541472,11222
2539869,3009
228790,8314
38961,1956
83483,8829
90993,10488
90993,84699
90993,90993
1628,3131
1628,1649
1628,1649
1628,1054
